City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,kurmuk,10.55,34.2833,28.24,72,75,0.93,SD,1727185846
289,tazacorte,28.629,-17.9293,25.08,73,40,5.66,ES,1727185847
290,arcelia,18.2833,-100.2667,21.66,99,100,0.33,MX,1727185848
291,esqueda,30.7167,-109.5833,21.25,42,0,1.74,MX,1727185849
292,la passe,45.5549,-0.8967,19.2,74,13,6.67,FR,1727185850
293,kailua-kona,19.6406,-155.9956,23.11,85,54,2.67,US,1727185851
294,selfoss,63.9331,-20.9971,7.8,51,100,2.91,IS,1727185852
295,saudarkrokur,65.7461,-19.6394,4.99,88,100,5.06,IS,1727185853
296,bridgewater,44.3835,-64.5155,16.17,78,100,4.63,CA,1727185703
297,mar del plata,-38.0023,-57.5575,15.85,62,0,3.13,AR,1727185855
298,el porvenir,13.7617,-87.3458,24.27,92,100,0.3,HN,1727185706
299,al ghayzah,16.2079,52.176,27.4,73,1,5.3,YE,1727185858
300,mishkino,55.3389,63.9175,7.66,50,100,5.66,RU,1727185859
301,samamiya,11.3487,9.6399,32.13,46,15,1.79,NG,1727185860
302,vorgashor,67.5833,63.95,0.22,82,99,12.04,RU,1727185861
303,kimbe,-5.5502,150.1429,24.42,93,31,2.16,PG,1727185862
304,luwuk,-0.9516,122.7875,23.34,91,39,0.9,ID,1727185863
305,thunder bay,48.4001,-89.3168,7.99,100,20,1.54,CA,1727185772
306,chiredzi,-21.05,31.6667,27.65,26,0,3.06,ZW,1727185865
307,berezovyy,51.6667,135.7,9.5,73,34,1.54,RU,1727185866
308,aasiaat,68.7098,-52.8699,3.22,80,100,0.93,GL,1727185867
309,saynshand,44.8824,110.1163,15.42,49,26,1.66,MN,1727185868
310,kununurra,-15.7667,128.7333,25.99,78,0,3.6,AU,1727185870
311,alice springs,-23.7,133.8833,19.75,77,75,2.06,AU,1727185871
312,buenos aires,-34.6132,-58.3772,19.51,48,0,11.32,AR,1727185256
313,hue,16.4667,107.6,26.06,89,75,2.06,VN,1727185874
314,vangaindrano,-23.35,47.6,20.01,93,100,2.16,MG,1727185875
315,senanga,-16.1167,23.2667,36.2,10,6,4.79,ZM,1727185876
316,olyokminsk,60.3736,120.4264,7.96,94,62,1.78,RU,1727185877
317,kapuskasing,49.4169,-82.4331,7.0,93,40,2.06,CA,1727185879
318,xincheng,33.6333,115.1833,19.17,65,100,2.27,CN,1727185881
319,tomatlan,19.9333,-105.25,25.48,93,66,1.03,MX,1727185882
320,sebis,46.3667,22.1167,25.74,35,100,4.65,RO,1727185883
321,beeville,28.4008,-97.7483,26.1,94,40,1.54,US,1727185884
322,las higueras,-33.0923,-64.289,17.45,29,0,4.01,AR,1727185885
323,tual,-5.6667,132.75,26.23,82,98,0.83,ID,1727185887
324,agropoli,40.3469,14.9966,24.05,66,0,2.99,IT,1727185888
325,lenti,46.624,16.5386,22.75,76,90,3.81,HU,1727185889
326,fasa,28.9383,53.6482,36.58,8,0,5.14,IR,1727185890
327,fort mcmurray,56.7268,-111.381,11.73,87,100,1.54,CA,1727185663
328,san bernardo del viento,9.3533,-75.9524,27.96,78,100,2.18,CO,1727185892
329,pangody,65.85,74.4859,1.77,83,100,11.79,RU,1727185893
330,burlington,39.8835,-74.6413,17.81,81,75,4.63,US,1727185717
331,sinop,41.7711,34.8709,18.9,70,22,2.48,TR,1727185895
332,sirte,31.2089,16.5887,27.91,64,20,6.74,LY,1727185896
333,georgetown,5.4112,100.3354,27.96,82,20,3.09,MY,1727185471
334,susuman,62.7833,148.1667,-3.54,73,8,0.9,RU,1727185898
335,alamogordo,32.8995,-105.9603,20.01,41,0,2.57,US,1727185667
336,fuente obejuna,38.2667,-5.4167,22.48,25,91,3.72,ES,1727185901
337,cabo san lucas,22.8909,-109.9124,26.17,61,20,7.2,MX,1727185903
338,praia,14.9215,-23.5087,29.3,79,40,4.63,CV,1727185904
339,kindu,-2.95,25.95,37.29,19,91,1.06,CD,1727185905
340,port mathurin,-19.6833,63.4167,22.56,84,53,8.31,MU,1727185906
341,zarghun shahr,32.8473,68.4457,25.75,11,0,1.34,AF,1727185907
342,saint-francois,46.4154,3.9054,18.15,74,75,4.63,FR,1727185908
343,nova vicosa,-17.8919,-39.3719,28.26,54,8,4.61,BR,1727185909
344,batie,9.8833,-2.9167,28.06,70,92,2.92,BF,1727185910
345,morehead city,34.7229,-76.726,24.0,80,100,2.57,US,1727185865
346,burela de cabo,43.65,-7.4,18.64,65,29,5.82,ES,1727185913
347,sabalgarh,26.25,77.4,31.22,59,8,1.17,IN,1727185914
348,borkum,53.5809,6.6915,17.58,72,80,6.59,DE,1727185915
349,ulsteinvik,62.3432,5.8487,11.28,66,100,0.89,NO,1727185916
350,remire-montjoly,4.9167,-52.2667,32.02,58,75,3.6,GF,1727185917
351,saldanha,-33.0117,17.9442,17.03,75,100,5.37,ZA,1727185918
352,island harbour,50.724,-1.2758,16.67,67,81,1.79,GB,1727185919
353,santa cruz,-17.8,-63.1667,30.03,70,5,6.69,BO,1727185680
354,deqen,29.9618,90.7188,9.46,75,100,3.09,CN,1727185921
355,itaituba,-4.2761,-55.9836,30.09,70,100,2.57,BR,1727185922
356,enewetak,11.3474,162.3373,28.61,77,37,3.94,MH,1727185923
357,tubarjal,30.4999,38.216,33.44,21,0,4.92,SA,1727185925
358,puerto leguizamo,-0.1934,-74.7819,30.92,54,9,1.35,CO,1727185926
359,port douglas,-16.4833,145.4667,22.18,81,17,2.9,AU,1727185927
360,colachel,8.1667,77.25,27.69,84,100,1.79,IN,1727185928
361,raduzhnyy,62.0961,77.475,2.34,85,100,7.55,RU,1727185929
362,port shepstone,-30.7414,30.455,23.07,68,11,10.06,ZA,1727185930
